District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Boath,19-Sep-22,2.7,70.9,96.9
Adilabad,Boath,20-Sep-22,4.1,72.8,98.3
Adilabad,Boath,21-Sep-22,1.5,77.4,100.0
Adilabad,Boath,22-Sep-22,0.7,79.1,97.5
Adilabad,Boath,23-Sep-22,0.0,77.0,97.6
Adilabad,Boath,24-Sep-22,0.0,65.1,97.3
Adilabad,Boath,25-Sep-22,0.0,63.1,98.1
Adilabad,Boath,26-Sep-22,0.0,65.3,98.5
Adilabad,Boath,27-Sep-22,13.0,70.9,99.9
Adilabad,Boath,28-Sep-22,0.7,70.9,99.0
Adilabad,Boath,29-Sep-22,9.5,77.5,99.9
Adilabad,Boath,30-Sep-22,0.2,73.1,98.7
Adilabad,Gadiguda,01-Sep-22,2.8,77.5,99.9
Adilabad,Gadiguda,02-Sep-22,0.0,74.1,99.9
Adilabad,Gadiguda,03-Sep-22,0.0,65.3,99.9
Adilabad,Gadiguda,04-Sep-22,49.3,59.5,99.9
Adilabad,Gadiguda,05-Sep-22,0.0,92.2,99.9
Adilabad,Gadiguda,06-Sep-22,0.0,77.1,99.9
Adilabad,Gadiguda,07-Sep-22,0.0,72.0,99.9
Adilabad,Gadiguda,08-Sep-22,3.8,78.1,99.9
Adilabad,Gadiguda,09-Sep-22,5.0,84.3,99.9
Adilabad,Gadiguda,10-Sep-22,0.0,77.5,99.9
Adilabad,Gadiguda,11-Sep-22,9.5,71.4,99.9
Adilabad,Gadiguda,12-Sep-22,68.5,99.2,99.9
Adilabad,Gadiguda,13-Sep-22,13.5,97.0,99.9
Adilabad,Gadiguda,14-Sep-22,0.0,85.6,99.9
Adilabad,Gadiguda,15-Sep-22,0.0,80.3,99.9
Adilabad,Gadiguda,16-Sep-22,0.0,78.5,99.9
Adilabad,Gadiguda,17-Sep-22,14.0,77.2,99.9
Adilabad,Gadiguda,18-Sep-22,1.8,84.3,99.9
Adilabad,Gadiguda,19-Sep-22,0.5,70.9,99.9
Adilabad,Gadiguda,20-Sep-22,0.0,84.4,99.9
Adilabad,Gadiguda,21-Sep-22,0.0,76.7,99.9
Adilabad,Gadiguda,22-Sep-22,4.5,85.7,99.9
Adilabad,Gadiguda,23-Sep-22,0.0,84.1,99.9
Adilabad,Gadiguda,24-Sep-22,0.0,77.3,99.9
Adilabad,Gadiguda,25-Sep-22,0.0,64.9,99.9
Adilabad,Gadiguda,26-Sep-22,0.0,66.4,99.9
Adilabad,Gadiguda,27-Sep-22,31.3,77.2,99.9
Adilabad,Gadiguda,28-Sep-22,1.0,64.9,99.9
Adilabad,Gadiguda,29-Sep-22,11.8,79.4,99.9
Adilabad,Gadiguda,30-Sep-22,0.0,84.3,99.9
Adilabad,Gudihathnur,01-Sep-22,0.0,50.7,97.1
Adilabad,Gudihathnur,02-Sep-22,0.0,73.9,98.3
Adilabad,Gudihathnur,03-Sep-22,0.0,71.4,96.9
Adilabad,Gudihathnur,04-Sep-22,14.3,64.0,99.0
Adilabad,Gudihathnur,05-Sep-22,0.3,83.8,98.8
Adilabad,Gudihathnur,06-Sep-22,0.0,79.4,98.2
Adilabad,Gudihathnur,07-Sep-22,0.0,77.5,97.3
Adilabad,Gudihathnur,08-Sep-22,0.0,84.4,97.9
Adilabad,Gudihathnur,09-Sep-22,18.5,84.6,99.0
Adilabad,Gudihathnur,10-Sep-22,0.3,72.4,97.6
Adilabad,Gudihathnur,11-Sep-22,17.5,80.5,98.6
Adilabad,Gudihathnur,12-Sep-22,66.5,97.1,99.6
Adilabad,Gudihathnur,13-Sep-22,5.9,91.4,99.2
Adilabad,Gudihathnur,14-Sep-22,0.3,84.3,96.9
Adilabad,Gudihathnur,15-Sep-22,0.0,70.5,96.9
Adilabad,Gudihathnur,16-Sep-22,0.0,67.8,93.7
Adilabad,Gudihathnur,17-Sep-22,2.0,84.3,98.9
Adilabad,Gudihathnur,18-Sep-22,2.2,79.3,98.6
Adilabad,Gudihathnur,19-Sep-22,3.7,79.2,98.4
Adilabad,Gudihathnur,20-Sep-22,10.6,84.3,96.9
Adilabad,Gudihathnur,21-Sep-22,0.4,83.7,97.3
Adilabad,Gudihathnur,22-Sep-22,0.0,84.3,96.0
Adilabad,Gudihathnur,23-Sep-22,0.0,83.7,97.8
Adilabad,Gudihathnur,24-Sep-22,0.0,77.5,98.4
Adilabad,Gudihathnur,25-Sep-22,0.0,54.5,98.6
Adilabad,Gudihathnur,26-Sep-22,0.0,63.9,98.0
Adilabad,Gudihathnur,27-Sep-22,12.6,72.8,98.6
Adilabad,Gudihathnur,28-Sep-22,0.4,81.2,98.4
Adilabad,Gudihathnur,29-Sep-22,0.9,72.0,97.6
Adilabad,Gudihathnur,30-Sep-22,2.8,79.2,98.6
Adilabad,Ichoda,01-Sep-22,0.0,61.8,99.9
Adilabad,Ichoda,02-Sep-22,0.0,69.4,99.9
Adilabad,Ichoda,03-Sep-22,0.0,63.3,99.0
Adilabad,Ichoda,04-Sep-22,10.1,58.5,99.9
Adilabad,Ichoda,05-Sep-22,0.3,86.4,99.9
Adilabad,Ichoda,06-Sep-22,0.0,78.4,99.9
Adilabad,Ichoda,07-Sep-22,1.9,72.2,99.9
Adilabad,Ichoda,08-Sep-22,0.0,79.1,99.9
Adilabad,Ichoda,09-Sep-22,1.0,80.4,99.9
Adilabad,Ichoda,10-Sep-22,0.0,74.4,99.3
Adilabad,Ichoda,11-Sep-22,40.3,75.0,98.7
Adilabad,Ichoda,12-Sep-22,101.4,97.6,99.9
Adilabad,Ichoda,13-Sep-22,1.6,93.9,99.9
Adilabad,Ichoda,14-Sep-22,2.1,81.0,98.1
Adilabad,Ichoda,15-Sep-22,0.0,76.6,97.6
Adilabad,Ichoda,16-Sep-22,0.0,76.5,98.7
Adilabad,Ichoda,17-Sep-22,12.3,78.3,99.9
Adilabad,Ichoda,18-Sep-22,2.4,85.6,99.9
Adilabad,Ichoda,19-Sep-22,0.9,79.3,95.7
Adilabad,Ichoda,20-Sep-22,11.7,78.0,99.9
Adilabad,Ichoda,21-Sep-22,1.1,83.7,99.6
Adilabad,Ichoda,22-Sep-22,0.0,88.6,98.9
Adilabad,Ichoda,23-Sep-22,0.0,86.7,99.9
Adilabad,Ichoda,24-Sep-22,0.0,67.3,98.0
Adilabad,Ichoda,25-Sep-22,0.0,63.2,98.2
Adilabad,Ichoda,26-Sep-22,0.0,68.6,97.8
Adilabad,Ichoda,27-Sep-22,9.7,69.1,97.8
Adilabad,Ichoda,28-Sep-22,0.0,66.9,99.9
Adilabad,Ichoda,29-Sep-22,12.6,78.1,98.3
Adilabad,Ichoda,30-Sep-22,2.5,81.6,98.3
Adilabad,Inderavelly,01-Sep-22,0.0,71.3,99.9
Adilabad,Inderavelly,02-Sep-22,0.0,70.9,99.9
Adilabad,Inderavelly,03-Sep-22,0.0,58.6,99.5
Adilabad,Inderavelly,04-Sep-22,81.3,59.5,99.9
Adilabad,Inderavelly,05-Sep-22,0.8,97.6,99.9
Adilabad,Inderavelly,06-Sep-22,0.0,85.4,99.9
Adilabad,Inderavelly,07-Sep-22,0.0,70.6,99.9
Adilabad,Inderavelly,08-Sep-22,0.0,86.7,99.9
Adilabad,Inderavelly,09-Sep-22,5.9,84.5,99.9
Adilabad,Inderavelly,10-Sep-22,0.5,84.5,99.9
Adilabad,Inderavelly,11-Sep-22,15.3,79.8,99.9
Adilabad,Inderavelly,12-Sep-22,90.7,96.5,99.5
Adilabad,Inderavelly,13-Sep-22,7.8,91.0,99.3
Adilabad,Inderavelly,14-Sep-22,0.9,87.6,99.9
Adilabad,Inderavelly,15-Sep-22,0.5,70.6,99.9
Adilabad,Inderavelly,16-Sep-22,0.0,91.5,99.9
Adilabad,Inderavelly,17-Sep-22,11.5,94.4,99.9
Adilabad,Inderavelly,18-Sep-22,4.4,78.6,99.9
Adilabad,Inderavelly,19-Sep-22,2.6,72.4,99.9
Adilabad,Inderavelly,20-Sep-22,2.6,80.1,99.9
Adilabad,Inderavelly,21-Sep-22,0.0,82.0,99.9
Adilabad,Inderavelly,22-Sep-22,3.3,81.6,99.9
Adilabad,Inderavelly,23-Sep-22,0.0,76.4,99.9
